name,url,type,rylaLabel,typeBadge,stats,creator,scrapedAt,notes
"Model 1598938","https://civitai.com/models/1598938/smooth-workflow-txt2img","unknown","workflow_comfyui","","","","2026-02-03T17:54:27.354Z",""
"Model 160207","https://civitai.com/models/160207/sdxl-workflow-comfyui-realistic-skin-texture-portrait","unknown","workflow_comfyui","","","","2026-02-03T17:54:27.354Z",""
"Model 154165","https://civitai.com/models/154165/animatediff-workflow-animate-with-starting-and-ending-image","unknown","workflow_comfyui","","","","2026-02-03T17:54:27.354Z",""
"Model 155198","https://civitai.com/models/155198/animatediff-workflow-openpose-keyframing-in-comfyui","unknown","workflow_comfyui","","","","2026-02-03T17:54:27.354Z",""
"Model 304986","https://civitai.com/models/304986/workflow-comfyui-modify-clothes-at-full-resolution","unknown","workflow_comfyui","","","","2026-02-03T17:54:27.354Z",""
"Model 138397","https://civitai.com/models/138397/winstons-workflow-collection","unknown","workflow_comfyui","","","","2026-02-03T17:54:27.354Z",""
"Model 420163","https://civitai.com/models/420163/abominable-workflows","unknown","workflow_comfyui","","","","2026-02-03T17:54:27.354Z",""
"Model 617060","https://civitai.com/models/617060/comfyui-workflow-for-flux-simple-lora","unknown","workflow_comfyui","","","","2026-02-03T17:54:27.354Z",""
"Model 333060","https://civitai.com/models/333060/simplified-workflow-for-ultimate-sd-upscale","unknown","workflow_comfyui","","","","2026-02-03T17:54:27.354Z",""
"Model 541709","https://civitai.com/models/541709/comfyui-workflow-sdxlpony-image-generation-upscale-face-detailer-with-control-net-canny-scribble-tile-depth-openpose-batch-upscaling","unknown","workflow_comfyui","","","","2026-02-03T17:54:27.354Z",""
"Model 22651","https://civitai.com/models/22651/comfyui-workflows","unknown","workflow_comfyui","","","","2026-02-03T17:54:27.354Z",""
"Model 1681541","https://civitai.com/models/1681541/workflows-for-wan21fusionx-loras","unknown","workflow_comfyui","","","","2026-02-03T17:54:27.354Z",""
"Model 617562","https://civitai.com/models/617562/comfyui-workflow-jib-mix-flux-official-workflow","unknown","workflow_comfyui","","","","2026-02-03T17:54:27.354Z",""
"Model 1429214","https://civitai.com/models/1429214/yainworkflowsexample","unknown","workflow_comfyui","","","","2026-02-03T17:54:27.354Z",""
"Model 670083","https://civitai.com/models/670083/workflow-flux-photos-dev","unknown","workflow_comfyui","","","","2026-02-03T17:54:27.354Z",""
"Model 118865","https://civitai.com/models/118865/moonride-workflows-for-sdxl-10-in-comfyui","unknown","workflow_comfyui","","","","2026-02-03T17:54:27.354Z",""
"Model 162746","https://civitai.com/models/162746/ultimatecomfyui-workflows-and-tools-collection-bundle-aio","unknown","workflow_comfyui","","","","2026-02-03T17:54:27.354Z",""
"Model 133337","https://civitai.com/models/133337/workflow-comfyui-i2i-controlnet-ultimate-upscaler-for-sd-15","unknown","workflow_comfyui","","","","2026-02-03T17:54:27.354Z",""
"Model 544534","https://civitai.com/models/544534/unsampling-workflows","unknown","workflow_comfyui","","","","2026-02-03T17:54:27.354Z",""
"Model 321316","https://civitai.com/models/321316/workflow-of-comfyui-face-detailer-fix-face","unknown","workflow_comfyui","","","","2026-02-03T17:54:27.354Z",""
"Model 664346","https://civitai.com/models/664346/simple-workflows-for-flux1","unknown","workflow_comfyui","","","","2026-02-03T17:54:27.354Z",""
"Model 287147","https://civitai.com/models/287147/workflow-consistant-character-maker","unknown","workflow_comfyui","","","","2026-02-03T17:54:27.354Z",""
